City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
121,Develi,38.3906,35.4922,76.35,41,0,6.55,TR,clear sky
122,Sassandra,4.95,-6.0833,73.78,93,1,4.9,CI,clear sky
123,Bathsheba,13.2167,-59.5167,88.41,66,20,13.8,BB,few clouds
124,Hermanus,-34.4187,19.2345,58.8,76,10,14.74,ZA,clear sky
125,Lander,42.833,-108.7307,85.15,18,0,8.39,US,clear sky
126,Grand-Santi,4.25,-54.3833,86.2,66,98,1.88,GF,overcast clouds
127,Salalah,17.0151,54.0924,77.47,86,91,6.67,OM,overcast clouds
128,Qaanaaq,77.484,-69.3632,40.17,64,100,8.1,GL,overcast clouds
129,Hovd,48.0056,91.6419,60.75,34,10,4.7,MN,clear sky
130,Tasiilaq,65.6145,-37.6368,39.47,72,93,0.98,GL,overcast clouds
131,Aljezur,37.3191,-8.8033,66.07,91,25,9.66,PT,scattered clouds
132,Port Hardy,50.6996,-127.4199,57.38,94,75,9.22,CA,fog
133,Alta Floresta,-9.8756,-56.0861,102.87,13,7,3.15,BR,clear sky
134,Vostok,46.4856,135.8833,46.22,89,0,4.47,RU,clear sky
135,Sambava,-14.2667,50.1667,68.23,81,3,14.83,MG,clear sky
136,Sunrise Manor,36.2111,-115.0731,104.4,22,0,11.5,US,clear sky
137,Whitehorse,60.7161,-135.0538,50.09,75,100,16.11,CA,overcast clouds
138,Koslan,63.4564,48.8989,41.18,97,97,3.51,RU,overcast clouds
139,Fugen,47.35,11.85,64.4,90,32,3.91,AT,scattered clouds
140,Les Cayes,18.2,-73.75,83.8,69,100,6.91,HT,overcast clouds
141,Igarka,67.4667,86.5833,41.04,77,63,8.84,RU,broken clouds
142,Grindavik,63.8424,-22.4338,54.07,76,20,18.41,IS,few clouds
143,Port Keats,-14.25,129.55,76.12,55,0,12.57,AU,clear sky
144,Pangnirtung,66.1451,-65.7125,48.2,87,100,4.61,CA,light rain
145,Eyl,7.9803,49.8164,76.23,76,20,24.4,SO,few clouds
146,Iqaluit,63.7506,-68.5145,38.93,100,100,9.22,CA,light rain
147,Ilulissat,69.2167,-51.1,45.37,96,100,3.87,GL,overcast clouds
148,Kapit,2.0167,112.9333,74.21,100,100,0.38,MY,light rain
149,Ust-Omchug,61.15,149.6333,46.76,92,91,6.91,RU,overcast clouds
150,Gimli,50.6336,-96.9907,68.49,42,100,20.29,CA,overcast clouds
151,Norman Wells,65.282,-126.8329,66.45,40,6,5.1,CA,clear sky
152,Kahului,20.8947,-156.47,83.97,72,0,11.01,US,clear sky
153,Huarmey,-10.0681,-78.1522,67.39,66,6,10.69,PE,clear sky
154,Chuy,-33.6971,-53.4616,55.22,68,0,16.22,UY,clear sky
155,Hammerfest,70.6634,23.6821,43.25,87,75,6.91,NO,broken clouds
156,Bethel,41.3712,-73.414,82.18,44,0,1.99,US,clear sky
157,Palmer,42.1584,-72.3287,78.15,42,20,1.01,US,few clouds
158,Baykit,61.67,96.37,42.98,92,99,3.96,RU,overcast clouds
159,Coromandel,-18.4733,-47.2003,79.72,23,0,5.23,BR,clear sky
160,Kieta,-6.2167,155.6333,77.92,85,78,3.94,PG,light rain
161,Tiksi,71.6872,128.8694,38.84,85,100,13.8,RU,overcast clouds
162,Akdagmadeni,39.6603,35.8836,72.37,28,5,5.46,TR,clear sky
163,Ahipara,-35.1667,173.1667,49.6,82,100,4.52,NZ,overcast clouds
164,Labuhan,-6.8844,112.2051,77.09,84,51,9.78,ID,broken clouds
165,Tessalit,20.1986,1.0114,93.09,28,30,21.3,ML,scattered clouds
166,Revelstoke,50.9832,-118.2023,88.34,28,0,4.83,CA,clear sky
167,Hailar,49.2,119.7,55.56,57,23,6.67,CN,light rain
168,San Rafael Del Sur,11.8485,-86.4384,86.5,63,54,7.83,NI,broken clouds
169,Great Yarmouth,52.6083,1.7305,69.42,76,76,10.33,GB,broken clouds
170,West Wendover,40.7391,-114.0733,90.18,11,0,4.5,US,clear sky
171,Narsaq,60.9167,-46.05,53.82,73,100,1.72,GL,overcast clouds
172,Satun,6.8333,100.0,77.0,96,64,0.69,TH,broken clouds
173,Lompoc,34.6391,-120.4579,99.01,56,0,11.5,US,clear sky
174,Chara,56.9064,118.2631,37.76,74,99,0.16,RU,overcast clouds
175,Ayagoz,47.9714,80.4392,65.35,45,0,7.0,KZ,clear sky
176,Pevek,69.7008,170.3133,36.36,73,100,2.91,RU,overcast clouds
177,Havelock,34.8791,-76.9013,90.99,73,98,8.25,US,overcast clouds
178,Kottagudem,17.55,80.6333,77.81,93,24,4.25,IN,few clouds
179,Chapais,49.7834,-74.8492,75.61,51,17,12.44,CA,few clouds
180,Puerto Cabezas,14.0351,-83.3888,87.76,66,40,6.91,NI,scattered clouds
181,Katakwi,1.8911,33.9661,68.61,79,95,7.83,UG,overcast clouds
182,Buraydah,26.326,43.975,93.49,11,0,8.55,SA,clear sky
183,Dikson,73.5069,80.5464,41.18,80,25,9.35,RU,scattered clouds
184,Emerald,-23.5333,148.1667,57.34,100,100,11.5,AU,overcast clouds
185,Manicore,-5.8092,-61.3003,98.67,29,55,2.26,BR,broken clouds
186,Antofagasta,-23.65,-70.4,60.08,68,33,10.42,CL,scattered clouds
187,Lake Cowichan,48.825,-124.0546,78.44,35,0,1.99,CA,clear sky
188,Bethanien,-26.502,17.1583,65.23,30,0,9.62,NA,clear sky
189,Genhe,50.7833,121.5167,49.93,73,26,2.26,CN,scattered clouds
190,Cayenne,4.9333,-52.3333,87.84,62,0,14.97,GF,clear sky
191,Bac Lieu,9.285,105.7244,80.26,86,100,7.4,VN,overcast clouds
192,Chumikan,54.7183,135.315,55.51,92,99,7.99,RU,light rain
193,Vyazniki,56.25,42.1667,43.66,87,24,10.6,RU,few clouds
194,Saint-Philippe,-21.3585,55.7679,67.59,86,86,11.92,RE,light rain
195,Cape Town,-33.9258,18.4232,58.87,79,75,16.11,ZA,broken clouds
196,Georgetown,5.4112,100.3354,79.9,91,20,3.44,MY,few clouds
197,Luanda,-8.8368,13.2343,71.6,88,53,5.75,AO,broken clouds
198,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.91,75,19,12.5,BR,few clouds
199,Barcelos,41.5388,-8.6151,71.92,81,0,7.02,PT,clear sky
200,Fortuna,40.5982,-124.1573,63.66,95,100,4.61,US,overcast clouds
201,Mareeba,-17.0,145.4333,70.45,95,100,2.06,AU,overcast clouds
202,San Nicolas,18.1725,120.5953,78.57,91,100,17.45,PH,overcast clouds
203,Talnakh,69.4865,88.3972,40.17,79,96,2.93,RU,overcast clouds
204,Russell,32.3502,-85.1999,89.38,58,0,6.91,US,clear sky
205,Tiarei,-17.5333,-149.3333,80.62,76,22,20.56,PF,light rain
206,Sankt Polten,48.2,15.6333,66.29,77,57,3.6,AT,broken clouds
207,Evensk,61.95,159.2333,50.07,99,100,9.84,RU,overcast clouds
208,Yarada,17.65,83.2667,84.52,89,40,2.3,IN,scattered clouds
209,Coquimbo,-29.9533,-71.3436,58.73,72,0,12.66,CL,clear sky
210,Bowen,-20.0167,148.2333,69.66,95,100,3.71,AU,overcast clouds
211,El Progreso,15.4,-87.8,85.75,70,75,6.91,HN,broken clouds
212,Kefamenanu,-9.4467,124.4781,71.56,91,77,3.83,ID,broken clouds
213,Tahoua,14.8888,5.2692,88.14,47,37,6.58,NE,scattered clouds
214,Hamilton,39.1834,-84.5333,88.59,55,100,3.0,US,overcast clouds
215,Constitucion,-35.3333,-72.4167,61.05,49,0,14.25,CL,clear sky
216,Sao Joao Da Barra,-21.6403,-41.0511,77.09,64,0,21.03,BR,clear sky
217,Saint-Augustin,51.226,-58.6502,70.02,45,0,14.07,CA,clear sky
218,Vila,42.0304,-8.1588,62.71,66,78,5.1,PT,broken clouds
219,Acari,-15.4311,-74.6158,73.0,50,22,9.33,PE,few clouds
220,Basco,20.4487,121.9702,82.62,88,100,40.96,PH,overcast clouds
221,Flinders,-34.5833,150.8552,52.18,74,100,8.99,AU,light rain
222,Thunder Bay,48.4001,-89.3168,82.62,38,5,13.56,CA,clear sky
223,Mamallapuram,12.6264,80.1722,84.25,79,72,8.43,IN,broken clouds
224,Ponta Do Sol,32.6667,-17.1,76.01,83,83,3.09,PT,broken clouds
225,Carutapera,-1.195,-46.02,84.94,66,20,12.12,BR,few clouds
226,Vao,-22.6667,167.4833,71.64,69,62,17.98,NC,broken clouds
227,Okha,53.5739,142.9478,54.68,93,0,8.63,RU,clear sky
228,Taga,46.95,24.05,57.52,96,100,8.03,RO,overcast clouds
229,Bengkulu,-3.8004,102.2655,74.71,92,100,8.19,ID,overcast clouds
230,Serenje,-13.2325,30.2352,59.61,54,11,5.44,ZM,few clouds
231,Margate,51.3813,1.3862,70.3,79,63,1.01,GB,light rain
232,Asuncion,-25.3007,-57.6359,67.44,73,100,18.41,PY,overcast clouds
233,Murdochville,48.9583,-65.5006,58.95,36,7,10.6,CA,clear sky
234,Vicente Guerrero,19.1194,-98.1708,70.99,46,97,3.02,MX,overcast clouds
235,Doha,25.2867,51.5333,93.18,57,0,4.61,QA,clear sky
236,Nanortalik,60.1432,-45.2371,51.46,50,100,17.85,GL,overcast clouds
237,Rurrenabaque,-14.4413,-67.5278,85.01,48,91,2.62,BO,overcast clouds
238,Touros,-5.1989,-35.4608,80.33,70,17,17.54,BR,few clouds
239,Gonaives,19.45,-72.6833,92.52,44,83,7.52,HT,broken clouds
240,Kavieng,-2.5744,150.7967,81.95,75,93,13.33,PG,light rain
241,Marsa Matruh,31.3525,27.2453,79.32,72,0,7.61,EG,clear sky
242,Sistranda,63.7256,8.834,55.36,71,0,4.61,NO,clear sky
243,Estelle,29.8458,-90.1067,91.99,53,75,6.91,US,broken clouds
244,Havre,49.5833,0.3333,69.57,68,0,3.44,FR,clear sky
245,Batemans Bay,-35.7167,150.1833,43.88,75,99,6.33,AU,overcast clouds
246,Naliya,23.2667,68.8333,81.52,81,100,9.48,IN,overcast clouds
247,West Helena,34.5507,-90.6418,87.55,51,100,7.4,US,overcast clouds
248,Namatanai,-3.6667,152.4333,78.33,79,45,8.19,PG,scattered clouds
249,Brewster,41.3973,-73.6171,82.6,41,0,6.91,US,clear sky
250,Svetlaya,46.5389,138.3297,56.98,63,0,6.53,RU,clear sky
251,Kalabo,-14.97,22.6814,65.03,32,4,6.02,ZM,clear sky
252,Lyaskelya,61.7667,31.0167,44.37,81,54,8.59,RU,broken clouds
253,Pascagoula,30.3658,-88.5561,92.41,54,0,7.9,US,clear sky
254,Douentza,14.9951,-2.9517,85.93,56,66,8.79,ML,light rain
255,Kiama,-34.6833,150.8667,54.0,74,100,5.01,AU,light rain
256,Turukhansk,65.8167,87.9833,38.16,85,4,3.83,RU,clear sky
257,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,100,100,4.47,RU,fog
258,Nome,64.5011,-165.4064,50.07,93,100,0.0,US,moderate rain
259,Poum,-20.2333,164.0167,74.59,77,100,24.32,NC,overcast clouds
260,Necochea,-38.5473,-58.7368,50.99,52,0,9.48,AR,clear sky
261,Khatanga,71.9667,102.5,35.19,82,100,8.32,RU,overcast clouds
262,Zhezkazgan,47.8043,67.7144,80.44,22,0,3.8,KZ,clear sky
263,Barrow,71.2906,-156.7887,37.42,100,100,5.75,US,fog
264,Christchurch,-43.5333,172.6333,48.94,80,100,6.91,NZ,overcast clouds
265,Cockburn Town,21.4612,-71.1419,83.12,72,5,15.39,TC,clear sky
266,Totness,5.8833,-56.3167,84.72,71,85,6.87,SR,overcast clouds
267,Kloulklubed,7.0419,134.2556,84.25,72,100,14.45,PW,light rain
268,Manisa,38.8333,28.1667,74.25,53,0,4.14,TR,clear sky
269,Bernay,49.1667,0.6667,67.91,80,99,6.24,FR,overcast clouds
270,Itarema,-2.9248,-39.9167,81.84,66,73,19.82,BR,broken clouds
271,Grand Gaube,-20.0064,57.6608,66.38,72,0,3.0,MU,clear sky
272,Saint Anthony,45.0205,-93.218,89.65,54,0,11.5,US,clear sky
273,Saiha,22.4833,92.9667,70.23,97,100,1.77,IN,overcast clouds
274,Port Augusta,-32.5,137.7667,41.36,81,0,7.0,AU,clear sky
275,Egvekinot,66.3167,-179.1667,34.47,86,93,3.8,RU,overcast clouds
276,Sakaiminato,35.55,133.2333,74.14,83,100,13.29,JP,light rain
277,Talaya,61.3833,152.75,49.01,83,95,7.94,RU,overcast clouds
278,San Carlos De Bariloche,-41.1456,-71.3082,59.25,42,0,12.66,AR,clear sky
279,Hambantota,6.1241,81.1185,77.34,94,40,6.91,LK,scattered clouds
280,Noumea,-22.2763,166.4572,71.01,99,91,8.48,NC,overcast clouds
281,Henties Bay,-22.116,14.2845,55.87,88,0,8.66,NA,clear sky
282,Rio Grande,-32.035,-52.0986,62.71,77,14,19.64,BR,few clouds
283,Nemuro,43.3236,145.575,63.07,77,100,3.87,JP,overcast clouds
284,Lavrentiya,65.5833,-171.0,39.67,84,100,11.05,RU,overcast clouds
285,Sola,-13.8833,167.55,78.53,81,100,22.66,VU,overcast clouds
286,Podyuga,61.095,40.8647,44.13,95,100,9.42,RU,overcast clouds
287,Rincon,32.296,-81.2354,85.96,58,75,6.91,US,broken clouds
288,Lokosovo,61.1333,74.8167,50.77,65,100,12.97,RU,overcast clouds
289,Shenzhen,22.5455,114.0683,84.97,74,32,8.21,CN,scattered clouds
290,Saint-Pierre,-21.3393,55.4781,67.68,85,100,6.91,RE,overcast clouds
291,Shebunino,46.4339,141.8603,61.39,73,0,3.02,RU,clear sky
292,Winslow,35.0242,-110.6974,89.78,29,0,3.44,US,clear sky
293,Naze,28.3667,129.4833,78.75,84,100,17.25,JP,overcast clouds
294,Bonavista,48.6499,-53.1147,70.83,74,100,9.26,CA,overcast clouds
295,Pangody,65.85,74.4859,45.52,71,100,9.71,RU,overcast clouds
296,Koutsouras,35.0339,25.9469,81.1,71,0,3.74,GR,clear sky
297,Myitkyina,25.3833,97.4,74.66,100,97,0.85,MM,overcast clouds
298,Svetlogorsk,52.6333,29.7333,47.12,60,97,6.31,BY,overcast clouds
299,Bhubaneswar,20.2333,85.8333,82.62,100,20,4.61,IN,haze
300,Maksatikha,57.797,35.8825,42.24,97,51,6.98,RU,broken clouds
301,Lingao,19.9103,109.6859,80.94,82,100,3.15,CN,overcast clouds
302,Hay River,60.8156,-115.7999,64.49,46,100,9.22,CA,overcast clouds
303,Kawalu,-7.3817,108.2082,72.54,96,88,1.68,ID,overcast clouds
304,Sitka,57.0531,-135.33,62.49,67,100,13.8,US,overcast clouds
305,Suleja,9.1758,7.1808,67.69,99,100,0.98,NG,light rain
306,Bambous Virieux,-20.3428,57.7575,66.22,67,0,13.67,MU,clear sky
307,Leningradskiy,69.3833,178.4167,32.99,84,100,6.89,RU,overcast clouds
308,Teya,60.3778,92.6267,36.82,98,27,2.86,RU,scattered clouds
309,Puerto Escondido,15.85,-97.0667,86.83,54,75,5.75,MX,broken clouds
310,East London,-33.0153,27.9116,65.28,85,100,13.15,ZA,overcast clouds
311,Virginia Beach,36.8529,-75.978,90.0,55,20,10.36,US,few clouds
312,Kashiwazaki,37.3667,138.55,70.12,89,77,2.46,JP,broken clouds
313,Luderitz,-26.6481,15.1594,56.07,77,0,9.35,NA,clear sky
314,Karachi,24.9056,67.0822,82.22,78,40,6.91,PK,scattered clouds
315,Opuwo,-18.0607,13.84,74.98,21,0,7.36,NA,clear sky
316,Kodiak,57.79,-152.4072,53.11,82,100,3.44,US,overcast clouds
317,Manokwari,-0.8667,134.0833,78.91,77,100,6.22,ID,overcast clouds
318,Quelimane,-17.8786,36.8883,67.21,70,100,4.79,MZ,overcast clouds
319,Charters Towers,-20.1,146.2667,60.82,85,76,16.28,AU,broken clouds
320,Tres Pontas,-21.3667,-45.5125,80.82,19,0,2.98,BR,clear sky
321,Atyrau,47.1167,51.8833,77.02,78,0,8.95,KZ,clear sky
322,Balkhash,46.844,74.9804,76.87,31,38,9.69,KZ,scattered clouds
323,Mafinga,-7.25,35.0667,69.67,39,83,9.06,TZ,broken clouds
324,Komagane,35.7296,137.9396,68.34,99,80,2.01,JP,light rain
325,Copperas Cove,31.1241,-97.9031,90.34,58,40,6.91,US,scattered clouds
326,Shenjiamen,29.9576,122.298,78.85,91,17,14.34,CN,few clouds
327,Nalut,30.3333,10.85,92.89,19,0,7.18,LY,clear sky
328,Saint Stephen,50.3333,-4.9,65.16,94,40,6.91,GB,scattered clouds
329,Kidal,18.4411,1.4078,89.2,43,41,14.56,ML,light rain
330,Berlevag,70.8578,29.0864,44.6,87,75,12.66,NO,light intensity drizzle
331,Sehithwa,-20.4667,22.7167,62.76,19,0,8.03,BW,clear sky
332,Carlsbad,33.1581,-117.3506,107.8,65,0,11.5,US,haze
333,Luorong,24.4058,109.6086,75.45,57,93,6.69,CN,overcast clouds
334,Atar,20.5169,-13.0499,81.28,60,100,2.51,MR,moderate rain
335,Saint-Joseph,-21.3667,55.6167,66.58,84,45,12.88,RE,light rain
336,Manggar,-2.8833,108.2667,80.15,80,100,7.43,ID,overcast clouds
